약수터명	소재지도로명주소	소재지지번주소	위도	경도	지정일자	일평균이용인구수	수질검사일자	수질검사결과구분	부적합항목	관리기관전화번호	관리기관명	데이터기준일자	제공기관코드	제공기관명		
청학사	인천광역시 연수구 계림로길57번길 51-12	인천광역시 연수구 청학동 산16-2	37.431009	126.669105	2008-12-12	50	2018-07-04	적합	없음	032-749-7941	인천광역시 연수구청	2018-08-17	3520000	인천광역시 연수구		
원당샘	서울특별시 도봉구 해등로32가길 16	서울특별시 도봉구 방학3동 547	37.6602507	127.0222484	2012-01-01	300	2017-03-28	적합		02-2091-3764	서울시 도봉구청	2018-05-15	3090000	서울특별시 도봉구		
세심천	서울특별시 도봉구 시루봉로 65-59	서울특별시 도봉구 방학3동 산90-14	37.6554109	127.0240493	1995-01-01	200	2017-04-06	적합		02-2091-3764	서울시 도봉구청	2018-05-15	3090000	서울특별시 도봉구		
초헌중	서울특별시 도봉구 덕릉로62길 57-7	서울특별시 도봉구 창3동 산194-2	37.6396519	127.0428491	1995-01-01	50	2017-04-06	부적합	총대장균군	02-2091-3764	서울시 도봉구청	2018-05-15	3090000	서울특별시 도봉구		
남장사약수터		경상북도 상주시 남장동 산63-2	36.434171	129.056679	1996-03-09	50	2017-03-06	부적합	총대장균균	054-537-8799	상주시청(상하수도사업소)	2018-02-20	5110000	경상북도 상주시		
대전리약수터		경상북도 상주시 외서면 대전리 산194	36.431265	128.108803	1996-03-09	30	2017-03-06	적합	없음	054-537-8799	상주시청(상하수도사업소)	2018-02-20	5110000	경상북도 상주시		
지산리약수터		경상북도 상주시 이안면 지산리 산 25	36.569311	128.144722	1996-03-09	30	2017-03-06	부적합	총대장균균	054-537-8799	상주시청(상하수도사업소)	2018-02-20	5110000	경상북도 상주시		
계명		경기도 수원시 장안구 파장동 369	37.3123812	126.9997247	1992-05-28	150	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
구기		경기도 수원시 장안구 송죽동 4	37.3154913	127.0079104	1991-10-16	200	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
금바위		경기도 수원시 장안구 송죽동 산5-3	37.3005053	127.006984	1989-10-16	100	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
문암골		경기도 수원시 장안구 하광교동 산35	37.3176939	127.0281679	1991-12-03	150	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
문암골2호		경기도 수원시 장안구 하광교동 산35	37.3176939	127.0281679	1991-12-03	100	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
백년수		경기도 수원시 장안구 하광교동 산40-1	37.3176939	127.0281679	1989-11-06	300	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
신금암2호		경기도 수원시 장안구 파장동 산38	37.3103196	126.997419	1989-10-16	120	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
신선		경기도 수원시 장안구 파장동 산93-1	37.3103196	126.997419	1989-10-16	100	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
율전		경기도 수원시 장안구 율전동 산21	37.3028804	126.9697893	1989-06-11	100	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
절터		경기도 수원시 장안구 상광교동 산15	37.3353165	127.0176621	1991-11-03	270	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
퉁소바위		경기도 수원시 장안구 연무동 산23-1	37.2905417	127.0214724	1989-11-06	200	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
한천		경기도 수원시 장안구 조원동 산3-9		127.0165399	1989-11-16	150	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
금당골약수터		경기도 수원시 장안구 조원동 산10		127.0165399	1989-11-29	100	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
화서약수터		경기도 수원시 팔달구 화서동 79-9번지	37.283262	127.003871	1994-05-14	100	2017-04-08	적합		031-228-7347	수원시 팔달구청	2018-02-28	3740000	경기도 수원시		
한철2호		경기도 수원시 장안구 파장동 산107	37.3103196	126.997419	1998-09-23	200	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
한마음		경기도 수원시 장안구 조원동 산6		127.0165399	1999-10-02	200	2017-04-03	적합		031-228-5348	경기도 수원시 장안구청	2018-02-28	3740000	경기도 수원시		
숙지약수터		경기도 수원시 팔달구 화서동 산27번지	37.285712	126.999241	1990-05-09	300	2017-04-08	적합		031-228-7347	수원시 팔달구청	2018-02-28	3740000	경기도 수원시		
원기사약수터		대구광역시 달서구 상인동 산42	35.483211	128.340972	1995-05-01	100	2018-07-09	적합		053-667-2605	대구광역시 달서구청	2018-07-31	3470000	대구광역시 달서구		
평안샘터약수터		대구광역시 달서구 도원동 산19	35.481578	128.343903	1995-05-01	300	2018-07-09	적합		053-667-2605	대구광역시 달서구청	2018-07-31	3470000	대구광역시 달서구		
비봉산(남)약수터		경기도 안성시 당왕동 88-1	37.0165885516	127.27780341	1962-07-09	180	2017-12-27	적합		031-678-3161	안성시상수사업소	2018-08-01	4080000	경기도 안성시		
비봉산(여)약수터		경기도 안성시 당왕동산 58	37.0162359735	127.279065147	1962-07-09	150	2017-12-27	적합		031-678-3161	안성시상수사업소	2018-08-01	4080000	경기도 안성시		
마골약수터		경기도 안성시 봉남동산 22-1	37.0121106791	127.279899522	1966-07-08	150	2017-12-27	적합		031-678-3161	안성시상수사업소	2018-08-01	4080000	경기도 안성시		
가협약수터		경기도 안성시 금광면 오흥리산82	36.9949004767	127.342942787	1990-09-08	110	2017-12-27	적합		031-678-3161	안성시상수사업소	2018-08-01	4080000	경기도 안성시		
무상사약수터		경기도 안성시 서운면 인리301-1	36.9412082497	127.272850601	1990-07-08	80	2017-12-27	부적합	총대장균군	031-678-3161	안성시상수사업소	2018-08-01	4080000	경기도 안성시		
수박골		부산광역시 금정구 금성동 산69	35.23546594	129.055148019		100	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
삼밭골		부산광역시 금정구 장전동 산30	35.2352800212	129.068174109		150	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
호국사		부산광역시 금정구 장전동 산30	35.2352800212	129.068174109		50	2018-06-25	부적합	총대장균군	051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
참샘골		부산광역시 금정구 구서동 산178	35.247382371	129.081105562		100	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
정암		부산광역시 금정구 구서동 산4-1	35.2586281258	129.074212299		100	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
물망골		부산광역시 금정구 구서동 산4-8	35.2550169966	129.082355434		100	2018-06-25	부적합	총대장균군	051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
용머리		부산광역시 금정구 구서동 산4-8	35.2550169966	129.082355434		100	2018-06-25	부적합	총대장균군	051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
제 일		부산광역시 금정구 서동 산1	35.2233542974	129.105683877		50	2018-06-25	부적합	총대장균군,분원성대장균군	051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
서 곡		부산광역시 금정구 서동 산103	35.2240189534	129.103737501		150	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
서 천		부산광역시 금정구 금사동 544	35.2266185885	129.105974709		100	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
여 명		부산광역시 금정구 금사동 산9	35.2302190649	129.105588944		150	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
윤 산		부산광역시 금정구 부곡동 산15-17	35.2354941428	129.097404291		50	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
금 양		부산광역시 금정구 부곡동 산30-1	35.2344941652	129.097699251		100	2018-06-25	적합		051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
놋 정		부산광역시 금정구 구서동 산4-1	35.2586281258	129.074212299		100	2018-06-25	부적합	총대장균군	051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
부 곡		부산광역시 금정구 부곡동 산84-1	35.2271111975	129.100860922		150	2018-06-25	부적합	일반세균 저온	051-519-4394	금정구청 환경위생과	2018-07-31	3350000	부산광역시 금정구		
노루샘		제주특별자치도 제주시 애월읍 광령리 산183-6	33.371301519	126.502524607		100	2018-03-29	적합		064-710-6070	제주특별자치도 환경자산물관리과	2018-06-11	6500000	제주특별자치도		
영실물		제주특별자치도 서귀포시 하원동 산1	33.2803880264	126.472366177		200	2018-03-29	적합		064-710-6070	제주특별자치도 환경자산물관리과	2018-06-11	6500000	제주특별자치도		
사제비		제주특별자치도 제주시 애월읍 광령리 산138-1				150	2018-03-29	적합		064-710-6070	제주특별자치도 환경자산물관리과	2018-06-11	6500000	제주특별자치도		
절물		제주특별자치도 제주시 봉개동 산78-37	33.437883953	126.625887408		250	2018-03-27	적합		064-710-6070	제주특별자치도 환경자산물관리과	2018-06-11	6500000	제주특별자치도		
삼인동약수터		전라남도 곡성군 곡성읍 학정리 산 18-1	35.172970	127.280275		100	2018-07-20	적합	없음	061-360-8525	곡성군 환경과	2018-08-06	4860000	전라남도 곡성군		
아방절약수터		전라남도 곡성군 오곡면 오지리 319-1	35.267070	127.324245		50	2018-07-20	적합	없음	061-360-8525	곡성군 환경과	2018-08-06	4860000	전라남도 곡성군		
신흥약수터		전라남도 곡성군 옥과면 무창리 564-1	35.282355	127.151508		70	2018-07-20	적합	없음	061-360-8525	곡성군 환경과	2018-08-06	4860000	전라남도 곡성군		
지동약수터		전라남도 곡성군 옥과면 옥과리 690-11	35.285090	127.123208		100	2018-07-20	적합	없음	061-360-8525	곡성군 환경과	2018-08-06	4860000	전라남도 곡성군		
갑사 용수대	충청남도 공주시 계룡면 갑사로 519	충청남도 공주시 계룡면 중장리 33-41	36.3677610	127.1829464	2011-05-11	300	2017-03-29	적합	없음	042-825-3002	계룡산 국립공원관리사무소	2018-02-19	4500000	충청남도 공주시		
동학사 매표소	충청남도 공주시 반포면 동학사1로 327-6	충청남도 공주시 반포면 학봉리 777	36.3566829	127.2325192	1995-01-01	700	2017-03-29	적합	없음	042-825-3002	계룡산 국립공원관리사무소	2018-02-19	4500000	충청남도 공주시		
동학사 야영장	충청남도 공주시 반포면 동학사2로 115-16	충청남도 공주시 반포면 학봉리 산19-41	36.3576718	127.2416048	2006-02-01	200	2017-03-29	적합	없음	042-825-3002	계룡산 국립공원관리사무소	2018-02-19	4500000	충청남도 공주시		
산장광장	광주광역시 북구 무등로 1550	광주광역시 북구 금곡동 800	35.1441138348	126.988982509		100	2018-03-14	적합		062-410-6474	광주광역시 북구청	2018-04-30	3620000	광주광역시 북구		
청풍쉼터		광주광역시 북구 청풍동 200	35.1614507535	126.962633564		100	2018-03-14	적합		062-410-6474	광주광역시 북구청	2018-04-30	3620000	광주광역시 북구		
충장사	광주광역시 북구 송강로 13	광주광역시 북구 금곡동 1023	35.1627850145	126.978500008		0	2018-03-14	적합		062-410-6474	광주광역시 북구청	2018-04-30	3620000	광주광역시 북구		
남산골약수터		충청북도 진천군 진천읍 교성리 69-22	36.8463412	127.4408637	1996-09-03	100	2018-06-21	적합		043-539-7647	충청북도 진천군	2018-08-21	4450000	충청북도 진천군		
보련약수터		충청북도 진천군 진천읍 연곡리 산 16-10	36.84569985	127.3626101	1996-09-03	50	2018-06-21	적합		043-539-7647	충청북도 진천군	2018-08-21	4450000	충청북도 진천군		
엽돈제약수터		충청북도 진천군 백곡면 갈월리 산48-1	36.8893761	127.3296322	1996-09-03	120	2018-06-21	적합		043-539-7647	충청북도 진천군	2018-08-21	4450000	충청북도 진천군		
조곡약수터		경상북도 문경시 문경읍 상초리 선42-36	36.789575	128.066371	1995-08-16	400	2018-04-17	적합	무	054-550-8344	경상북도 문경시청	2018-04-25	5120000	경상북도 문경시		
조령약수터		경상북도 문경시 문경읍 상초리 552-1	36.810011	128.058369	1995-08-16	300	2018-04-17	적합	무	054-550-8344	경상북도 문경시청	2018-04-25	5120000	경상북도 문경시		
마지막골약수터		경상북도 문경시 불정동 339-8	36.622814	128.136717	1995-08-16	230	2018-04-17	적합	무	054-550-8344	경상북도 문경시청	2018-04-25	5120000	경상북도 문경시		
돈달약수터		경상북도 문경시 점촌동 15-10	36.604458	128.196568	1995-08-16	70	2018-04-17	적합	무	054-550-8344	경상북도 문경시청	2018-04-25	5120000	경상북도 문경시		
성림약수터		경상북도 문경시 흥덕동 5-1	36.6044587	128.196568	1995-08-16	80	2018-04-17	적합	무	054-550-8344	경상북도 문경시청	2018-04-25	5120000	경상북도 문경시		
매봉약수터		경상북도 문경시 모전동 산123-18	36.596224	128.182757	1995-08-16	70	2018-04-17	적합	무	054-550-8344	경상북도 문경시청	2018-04-25	5120000	경상북도 문경시		
진남약수터		경상북도 문경시 마성면 신현리 123-18	36.654351	128.128261	2002-06-29	150	2018-04-17	적합	무	054-550-8344	경상북도 문경시청	2018-04-25	5120000	경상북도 문경시		
남부민소방도로(천마정) 공동우물	부산광역시 서구 해돋이로59번가길 6-13 맞은편	부산광역시 서구 남부민2동 산4-34	35.085562	129.019921	2009-02-18	100	2018-07-24	적합		051-240-4391	부산광역시 서구청	2018-08-14	3260000	부산광역시 서구		
중앙공원팔각정 공동우물	부산광역시 서구 대신공원로 41, 중앙공원	부산광역시 서구 서대신동3가 산2-3	35.123725	129.018755	1995-05-21	500	2018-07-24	적합		051-240-4391	부산광역시 서구청	2018-08-14	3260000	부산광역시 서구		
중앙공원민속관 공동우물	부산광역시 서구 대신공원로 41, 중앙공원	부산광역시 서구 서대신동3가 산2-3	35.123852	129.018414	1996-02-09	100	2018-07-24	적합		051-240-4391	부산광역시 서구청	2018-08-14	3260000	부산광역시 서구		
석탑 약수터	부산광역시 서구 대신공원로 41, 중앙공원	부산광역시 서구 서대신동3가 산2-3	35.128201	129.019663	1996-02-09	300	2018-07-24	적합		051-240-4391	부산광역시 서구청	2018-08-14	3260000	부산광역시 서구		
구이 약수터	부산광역시 서구 대신공원로 41, 중앙공원	부산광역시 서구 서대신동3가 산2-3	35.126431	129.021016	1996-02-09	50	2018-07-24	적합		051-240-4391	부산광역시 서구청	2018-08-14	3260000	부산광역시 서구		
옥천 약수터	부산광역시 서구 대신공원로 41, 중앙공원	부산광역시 서구 서대신동3가 산2-3	35.127701	129.020696	1996-02-09	150	2018-07-24	부적합	총대장균군	051-240-4391	부산광역시 서구청	2018-08-14	3260000	부산광역시 서구		
서대신 꽃마을 공동우물	부산광역시 서구 꽃마을163번길 10	부산광역시 서구 서대신동3가 7-59	35.127391	129.006644	1996-02-09	100	2018-07-24	적합		051-240-4391	부산광역시 서구청	2018-08-14	3260000	부산광역시 서구		
안창약수터		부산광역시 남구 대연동 산53-19	35.1565322869	129.087987877		100	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
중앙늘샘쉼터		부산광역시 남구 대연동 산54-36	35.1518877808	129.084950571		150	2017-10-10	부적합	총대장균군, 분원성대장균군	051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
냉수욕터약수터		부산광역시 남구 대연동 산54-37	35.1531481	129.085654243		150	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
대연샘약수터		부산광역시 남구 대연동 산54-56	35.1446119025	129.093827117		150	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
장산약수터		부산광역시 남구 용호동 산157-2	35.1127865844	129.119122238		150	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
장군묘약수터		부산광역시 남구 용호동 산117	35.1137675903	129.119709157		100	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
장자산약수터		부산광역시 남구 용호동 산126-1	35.1182593347	129.123598391		150	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
이기대큰고개약수터		부산광역시 남구 용호동 산131-3	35.1166141365	129.126560731		150	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
이기대약수터		부산광역시 남구 용호동 산32	35.1213199287	129.122348536		200	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
용당12통간이수		부산광역시 남구 용당동 401-1	35.1176031103	129.09503513		50	2017-10-10	적합		051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
체육공원약수터		부산광역시 남구 문현동 산7	35.1470110203	129.080740334		100	2017-10-10	부적합	총대장균군, 분원성대장균군	051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
문현약수터		부산광역시 남구 문현동 산8	35.1484334745	129.08186934		200	2017-10-10	부적합	총대장균군	051-607-4391	부산광역시 남구청	2018-02-18	3310000	부산광역시 남구		
거북		서울특별시 은평구 녹번동 산1-1	37.3627010000	126.5634160000	2006-06-01	500	2018-06-29	적합		02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
녹수		서울특별시 은평구 녹번동 산1-1	37.6065580000	126.9397860000	2006-06-01	200	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
장미동산(좌)		서울특별시 은평구 녹번동 산1-1	37.6101940000	126.9413190000	2006-06-01	200	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
장미동산(우)		서울특별시 은평구 녹번동 산1-1	37.6101940000	126.9413190000	2006-06-01	200	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
응암		서울특별시 은평구 응암동 산6-48	37.5942340000	126.9257210000	2006-06-01	200	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
앵봉(좌)		서울특별시 은평구 갈현동 산12-1	37.6285710000	126.9112430000	2006-06-01	100	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
서부(좌)		서울특별시 은평구 갈현동 267-100	37.6240290000	126.9086540000	2006-06-01	100	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
서부(우)		서울특별시 은평구 갈현동 267-100	37.6240290000	126.9086540000	2006-06-01	100	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
수국사		서울특별시 은평구 구산동 산135-5	37.3712950000	126.5356410000	2006-06-01	100	2018-06-29	부적합	총대장균군	02-351-8009	서울특별시 은평구청	2018-06-30	3110000	서울특별시 은평구		
우장초등학교뒤약수터		서울특별시 강서구 화곡동 984-12	37.5501633946	126.845859762		50	2018-03-28	적합		02-2600-4176	서울특별시 강서구청	2018-07-04	3150000	서울특별시 강서구		
우장산약수터		서울특별시 강서구 내발산동 산4-5	37.5549442135	126.844582384		250	2018-03-28	적합		02-2600-4176	서울특별시 강서구청	2018-07-04	3150000	서울특별시 강서구		
봉제산약수터		서울특별시 강서구 화곡동 산5-4	37.5401252739	126.859503701		300	2018-03-28	적합		02-2600-4176	서울특별시 강서구청	2018-07-04	3150000	서울특별시 강서구		
꿩고개약수터		서울특별시 강서구 방화동 산110	37.5801165234	126.815973843		150	2018-03-28	적합		02-2600-4176	서울특별시 강서구청	2018-07-04	3150000	서울특별시 강서구		
개화산입구약수터		서울특별시 강서구 방화동 산152-1	37.5799378118	126.807859371		60	2018-03-28	부적합	수원고갈	02-2600-4176	서울특별시 강서구청	2018-07-04	3150000	서울특별시 강서구		
장군산(오리알) 약수터	전라북도 군산시 서당길 53	전라북도 군산시 구암동 53-1	35.979258	126.759394	1991-01-01	100	2018-07-05	부적합	총대장균군	063-454-3414	전라북도 군산시청	2018-07-05	4670000	전라북도 군산시		
임피남산 약수터	전라북도 군산시 범호재길 25-1	전라북도 군산시 임피면 읍내리 산31-1	35.976739	126.855721	2010-01-01	50	2018-07-05	부적합	총대장균군	063-454-3414	전라북도 군산시청	2018-07-05	4670000	전라북도 군산시		
장지약수터		서울특별시 송파구 장지동 851	37.487099	127.139926	2012-05-15	100	2018-07-23	적합		02-2147-3401	서울특별시 송파구청	2018-08-09	3230000	서울특별시 송파구		
달기약수탕		경상북도 청송군 청송읍 부곡리 산 735번지	36.438742	129.083665	1995-08-28	20	2017-03-08	적합		054-870-6347	청송군청	2018-08-01	5160000	경상북도 청송군		
신촌약수탕		경상북도 청송군 진보면 신촌리 24-1번지	36.507822	129.118904	1995-08-28	15	2017-03-08	적합		054-870-6347	청송군청	2018-08-01	5160000	경상북도 청송군		
얼음골약수탕		경상북도 청송군 부동면 항리 1번지	36.316496	129.223734	1995-08-28	15	2017-03-08	적합		054-870-6347	청송군청	2018-08-01	5160000	경상북도 청송군		
계족산약수터	대전광역시 대덕구 법동 산17	대전광역시 대덕구 법동 산17	36.3770445385	127.435149688	1990-01-01	100	2018-07-23	적합		042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
구봉약수터	대전광역시 대덕구 중리동로41번길 28 (중리동)	대전광역시 대덕구 중리동로41번길 28 (중리동)	36.3630728342	127.428154845	1992-01-01	250	2018-07-23	적합		042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
남도약수터	대전광역시 대덕구 비래동 산8-4	대전광역시 대덕구 비래동 산8-4	36.3681955473	127.457216766	1989-01-01	250	2018-07-23	적합		042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
대철약수터	대전광역시 대덕구 평촌동 1	대전광역시 대덕구 평촌동 1	36.4333749392	127.442886801	1990-01-01	50	2018-07-23	적합		042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
밭탕골약수터	대전광역시 대덕구 신상로 50 (비래동)	대전광역시 대덕구 신상로 50 (비래동)	36.3541131898	127.461608564	1989-01-01	500	2018-07-24	부적합	총대장균군	042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
비래사약수터	대전광역시 대덕구 비래동 산1-15	대전광역시 대덕구 비래동 산1-15	36.3753487292	127.453037324	1990-01-01	250	2018-07-23	적합		042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
안산약수터	대전광역시 대덕구 계족로663번길 25 (법동)	대전광역시 대덕구 계족로663번길 25 (법동)	36.3682382307	127.427180286	1991-01-01	250	2018-07-23	적합		042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
우족산약수터	대전광역시 대덕구 비래동 산8-4	대전광역시 대덕구 비래동 산8-4	36.3681955473	127.457216766	1989-01-01	250	2018-07-23	적합		042-608-6851	대전광역시 대덕구청	2018-08-03	3680000	대전광역시 대덕구		
정이생(상)	서울특별시 강북구 덕릉로42길 49(번동)	서울특별시 강북구 번동 산17	37.632969	127.032128		50	2018-07-31	부적합	총대장균군	02-901-6935	강북구청 공원녹지과	2018-08-01	3080000	서울특별시 강북구		
정이생(하)	서울특별시 강북구 덕릉로42길 49(번동)	서울특별시 강북구 번동 산17	37.632969	127.032128		0	2018-07-31	부적합		02-901-6935	강북구청 공원녹지과	2018-08-01	3080000	서울특별시 강북구		
중 원		경기도 성남시 중원구 은행동 11번지	37.471801	127.178401		80	2018-06-15	부적합	총대장균군, 대장균/분원성대장균군	031-729-4094	경기도 성남시 맑은물관리사업소	2018-06-30	3780000	경기도 성남시		
윗사기막		경기도 성남시 중원구 상대원동 산191번지	37.449101	127.177601		120	2018-06-15	적합		031-729-4094	경기도 성남시 맑은물관리사업소	2018-06-30	3780000	경기도 성남시		
뫼 우 리		경기도 성남시 중원구 상대원동 산141번지	37.441701	127.181501		50	2018-06-15	적합		031-729-4094	경기도 성남시 맑은물관리사업소	2018-06-30	3780000	경기도 성남시		
